접종일,당일 1차접종자 수,당일 2차접종자 수,동절기접종 누계,"코로나, 루머, 백신",백신 가짜뉴스
2021-04-21,124202,12127,0.0,0.0,7.0
2021-04-28,151570,20652,0.0,0.0,15.0
2021-05-05,39027,51860,0.0,0.0,9.0
2021-05-12,16636,72676,0.0,0.0,13.0
2021-05-19,22403,101561,0.0,0.0,17.0
2021-05-26,450793,65083,0.0,0.0,19.0
2021-06-02,538533,36218,0.0,0.0,22.0
2021-06-09,775477,248841,0.0,0.0,17.0
2021-06-16,329446,160951,0.0,0.0,7.0
2021-06-23,28808,117723,0.0,0.0,7.0
2021-06-30,28976,88017,0.0,0.0,9.0
2021-07-07,58639,84427,0.0,0.0,11.0
2021-07-14,146599,92372,0.0,0.0,8.0
2021-07-21,297687,50878,0.0,0.0,14.0
2021-07-28,384061,61457,0.0,0.0,11.0
2021-08-04,247617,157730,0.0,0.0,7.0
2021-08-11,389343,478843,0.0,0.0,17.0
2021-08-18,513851,452648,0.0,0.0,8.0
2021-08-25,489012,511504,0.0,0.0,8.0
2021-09-01,398972,536436,0.0,0.0,15.0
2021-09-08,643041,326829,0.0,0.0,11.0
2021-09-15,369541,251114,0.0,0.0,5.0
2021-09-22,412127,493839,0.0,0.0,10.0
2021-09-29,184605,642076,0.0,0.0,14.0
2021-10-06,54448,590698,0.0,0.0,6.0
2021-10-13,64920,603365,0.0,0.0,15.0
2021-10-20,63160,477881,0.0,0.0,7.0
2021-10-27,62287,386937,0.0,0.0,6.0
2021-11-03,65710,126064,0.0,0.0,7.0
2021-11-10,58375,101027,0.0,0.0,10.0
2021-11-17,38974,63845,0.0,0.0,8.0
2021-11-24,35936,69046,0.0,0.0,3.0
2021-12-01,33959,60530,0.0,0.0,8.0
2021-12-08,48459,53191,0.0,0.0,14.0
2021-12-15,84668,51500,0.0,0.0,24.0
2021-12-22,54928,38008,0.0,0.0,5.0
2021-12-29,38336,51323,0.0,0.0,13.0
2022-01-05,15652,62718,0.0,0.0,10.0
2022-01-12,13996,55905,0.0,0.0,5.0
2022-01-19,9504,33561,0.0,0.0,8.0
2022-01-26,6363,16770,0.0,0.0,13.0
2022-02-02,7134,20899,0.0,0.0,7.0
2022-02-09,7382,11924,0.0,0.0,6.0
2022-02-16,8320,8195,0.0,0.0,5.0
2022-02-23,5152,6826,0.0,0.0,3.0
2022-03-02,3821,5099,0.0,0.0,0.0
2022-03-09,4225,5588,0.0,0.0,5.0
2022-03-16,2716,2664,0.0,0.0,4.0
2022-03-23,1917,2586,0.0,0.0,1.0
2022-03-30,4254,2942,0.0,0.0,6.0
2022-04-06,2916,2092,0.0,0.0,3.0
2022-04-13,1890,1617,0.0,0.0,2.0
2022-04-20,1510,1706,0.0,0.0,3.0
2022-04-27,1345,1575,0.0,0.0,2.0
2022-05-04,913,1095,0.0,0.0,5.0
2022-05-11,835,1041,0.0,0.0,4.0
2022-05-18,751,1008,0.0,0.0,7.0
2022-05-25,783,2472,0.0,0.0,4.0
2022-06-01,490,1840,0.0,0.0,2.0
2022-06-08,495,1707,0.0,0.0,1.0
2022-06-15,376,1211,0.0,0.0,1.0
2022-06-22,216,407,0.0,0.0,3.0
2022-06-29,246,691,0.0,0.0,4.0
2022-07-06,477,816,0.0,0.0,0.0
2022-07-13,248,400,0.0,0.0,1.0
2022-07-20,652,533,0.0,0.0,5.0
2022-07-27,463,512,0.0,0.0,2.0
2022-08-03,286,270,0.0,0.0,0.0
2022-08-10,403,425,0.0,0.0,0.0
2022-08-17,467,370,0.0,0.0,2.0
2022-08-24,373,388,0.0,0.0,1.0
2022-08-31,304,312,0.0,0.0,1.0
2022-09-07,135,194,0.0,0.0,1.0
2022-09-14,273,510,0.0,0.0,2.0
2022-09-21,216,343,0.0,0.0,0.0
2022-09-28,165,316,0.0,0.0,0.0
2022-10-05,155,301,0.0,0.0,1.0
2022-10-12,201,323,0.0,0.0,1.0
2022-10-19,230,292,130664.0,0.0,0.0
2022-10-26,275,253,824270.0,0.0,1.0
2022-11-02,243,245,1062410.0,0.0,0.0
2022-11-09,252,244,1361037.0,0.0,1.0
2022-11-16,300,276,1884782.0,0.0,0.0
2022-11-23,335,238,2506738.0,0.0,5.0
2022-11-30,316,252,3050439.0,0.0,5.0
2022-12-07,311,260,3554273.0,0.0,1.0
2022-12-14,284,251,3995575.0,0.0,0.0
2022-12-21,246,231,4395981.0,0.0,3.0
2022-12-28,279,275,4751714.0,0.0,0.0
2023-01-04,337,283,5070026.0,0.0,1.0
2023-01-11,299,273,5320628.0,0.0,1.0
2023-01-18,180,143,3280230.0,0.0,1.0
2023-01-25,293,331,5589662.0,0.0,2.0
2023-02-01,204,237,5701853.0,0.0,1.0
2023-02-08,201,179,5791121.0,0.0,1.0
2023-02-15,156,187,5866458.0,0.0,2.0
2023-02-22,257,234,4741784.0,0.0,0.0
2023-03-01,91,110,5983760.0,0.0,1.0
2023-03-08,85,84,6028830.0,0.0,3.0
2023-03-15,78,95,6068931.0,0.0,4.0
2023-03-22,69,88,6106715.0,0.0,2.0
2023-03-29,66,76,6141405.0,0.0,1.0
2023-04-05,92,142,6173724.0,0.0,2.0
2023-04-12,87,165,6200876.0,0.0,1.0
2023-04-19,106,168,11072448.0,0.0,1.0
2023-04-26,87,146,6231425.0,0.0,0.0
2023-05-03,35,79,4987960.0,0.0,1.0
2023-05-10,36,77,6237609.0,0.0,1.0
2023-05-17,28,54,6240704.0,0.0,1.0
2023-05-24,25,52,4994949.0,0.0,3.0
2023-05-31,15,20,2497056.0,0.0,1.0
